,f,i,cats,mr,c,smp,srd,best
270,Ackley,200,50,0.9,1.0,40,0.5,0.2049824423741673
271,Ackley,200,50,0.9,1.0,40,0.8,0.0004994647196814306
272,Ackley,200,50,0.9,1.5,5,0.1,1.2953857122284913
273,Ackley,200,50,0.9,1.5,5,0.3,1.8841889185507381
274,Ackley,200,50,0.9,1.5,5,0.5,0.08565259752989052
275,Ackley,200,50,0.9,1.5,5,0.8,0.0019608095103191836
276,Ackley,200,50,0.9,1.5,10,0.1,1.6387681085175854
277,Ackley,200,50,0.9,1.5,10,0.3,1.6341260875032373
278,Ackley,200,50,0.9,1.5,10,0.5,0.11413610093591986
279,Ackley,200,50,0.9,1.5,10,0.8,0.001469265160669142
280,Ackley,200,50,0.9,1.5,20,0.1,1.8427631450489739
281,Ackley,200,50,0.9,1.5,20,0.3,0.3811466656953866
282,Ackley,200,50,0.9,1.5,20,0.5,0.7177467987391819
283,Ackley,200,50,0.9,1.5,20,0.8,0.0015742385726515984
284,Ackley,200,50,0.9,1.5,40,0.1,2.2377394603618055
285,Ackley,200,50,0.9,1.5,40,0.3,1.057752402447918
286,Ackley,200,50,0.9,1.5,40,0.5,0.04983341917796169
287,Ackley,200,50,0.9,1.5,40,0.8,0.003778204038785038
288,Ackley,200,50,0.9,2.0,5,0.1,2.902314200224343
289,Ackley,200,50,0.9,2.0,5,0.3,1.0918930553585686
290,Ackley,200,50,0.9,2.0,5,0.5,0.37537661906607456
291,Ackley,200,50,0.9,2.0,5,0.8,0.010879219584869038
292,Ackley,200,50,0.9,2.0,10,0.1,2.0058767223950764
293,Ackley,200,50,0.9,2.0,10,0.3,0.1449960127282819
294,Ackley,200,50,0.9,2.0,10,0.5,0.24029267394859888
295,Ackley,200,50,0.9,2.0,10,0.8,0.004461153029066356
296,Ackley,200,50,0.9,2.0,20,0.1,1.7520695887758362
297,Ackley,200,50,0.9,2.0,20,0.3,0.3546312458755243
298,Ackley,200,50,0.9,2.0,20,0.5,0.5547614139170602
299,Ackley,200,50,0.9,2.0,20,0.8,0.003861962902945937
300,Ackley,200,50,0.9,2.0,40,0.1,0.21098593916922015
301,Ackley,200,50,0.9,2.0,40,0.3,1.0574084736988394
302,Ackley,200,50,0.9,2.0,40,0.5,0.19006435277960465
303,Ackley,200,50,0.9,2.0,40,0.8,0.033758897523210596
304,Ackley,200,50,0.9,3.0,5,0.1,2.897766181408081
305,Ackley,200,50,0.9,3.0,5,0.3,2.797088587704405
306,Ackley,200,50,0.9,3.0,5,0.5,1.5690475378679705
307,Ackley,200,50,0.9,3.0,5,0.8,0.1451702361428464
308,Ackley,200,50,0.9,3.0,10,0.1,2.928006590015365
309,Ackley,200,50,0.9,3.0,10,0.3,2.611511749654746
310,Ackley,200,50,0.9,3.0,10,0.5,1.135040879398137
311,Ackley,200,50,0.9,3.0,10,0.8,0.03739622607491855
312,Ackley,200,50,0.9,3.0,20,0.1,1.2071085288771077
313,Ackley,200,50,0.9,3.0,20,0.3,2.7401190361182945
314,Ackley,200,50,0.9,3.0,20,0.5,2.011806671650359
315,Ackley,200,50,0.9,3.0,20,0.8,0.23057825244343322
316,Ackley,200,50,0.9,3.0,40,0.1,2.582646718041812
317,Ackley,200,50,0.9,3.0,40,0.3,2.784053718512418
318,Ackley,200,50,0.9,3.0,40,0.5,1.792771013118259
319,Ackley,200,50,0.9,3.0,40,0.8,0.09694004104119047
320,Ackley,200,100,0.1,0.5,5,0.1,0.6878130880266373
321,Ackley,200,100,0.1,0.5,5,0.3,0.013401294587300772
322,Ackley,200,100,0.1,0.5,5,0.5,0.00020372125102641192
323,Ackley,200,100,0.1,0.5,5,0.8,1.7618351222381534e-11
324,Ackley,200,100,0.1,0.5,10,0.1,1.420547641269764
325,Ackley,200,100,0.1,0.5,10,0.3,0.017482872595448118
326,Ackley,200,100,0.1,0.5,10,0.5,2.2559767036689493e-06
327,Ackley,200,100,0.1,0.5,10,0.8,1.7670989116425062e-09
328,Ackley,200,100,0.1,0.5,20,0.1,1.1408674650680486
329,Ackley,200,100,0.1,0.5,20,0.3,0.03576417029366796
330,Ackley,200,100,0.1,0.5,20,0.5,0.0007076130579517503
331,Ackley,200,100,0.1,0.5,20,0.8,1.1444178937836114e-12
332,Ackley,200,100,0.1,0.5,40,0.1,2.621768528422106
333,Ackley,200,100,0.1,0.5,40,0.3,0.007728370942875262
334,Ackley,200,100,0.1,0.5,40,0.5,8.512126887127991e-05
335,Ackley,200,100,0.1,0.5,40,0.8,1.1820322498579117e-11
336,Ackley,200,100,0.1,1.0,5,0.1,1.1192614848970455
337,Ackley,200,100,0.1,1.0,5,0.3,0.004129185049969397
338,Ackley,200,100,0.1,1.0,5,0.5,2.3898659869292516e-05
339,Ackley,200,100,0.1,1.0,5,0.8,1.4059797770471505e-09
340,Ackley,200,100,0.1,1.0,10,0.1,0.7591632601078513
341,Ackley,200,100,0.1,1.0,10,0.3,0.009465877684843083
342,Ackley,200,100,0.1,1.0,10,0.5,8.050837724926652e-06
343,Ackley,200,100,0.1,1.0,10,0.8,1.4715784146801525e-11
344,Ackley,200,100,0.1,1.0,20,0.1,1.954543714818254
345,Ackley,200,100,0.1,1.0,20,0.3,0.00828183551412609
346,Ackley,200,100,0.1,1.0,20,0.5,4.682837299130327e-05
347,Ackley,200,100,0.1,1.0,20,0.8,8.068656853765788e-12
348,Ackley,200,100,0.1,1.0,40,0.1,1.2602483725632294
349,Ackley,200,100,0.1,1.0,40,0.3,0.006172585663240415
350,Ackley,200,100,0.1,1.0,40,0.5,1.2002786935472187e-05
351,Ackley,200,100,0.1,1.0,40,0.8,2.3620616573793995e-10
352,Ackley,200,100,0.1,1.5,5,0.1,1.6050437677741098
353,Ackley,200,100,0.1,1.5,5,0.3,0.004713136035715326
354,Ackley,200,100,0.1,1.5,5,0.5,7.204606185640117e-05
355,Ackley,200,100,0.1,1.5,5,0.8,8.395506512215434e-12
356,Ackley,200,100,0.1,1.5,10,0.1,1.093999149084571
357,Ackley,200,100,0.1,1.5,10,0.3,0.0074491050514606805
358,Ackley,200,100,0.1,1.5,10,0.5,5.913886721886641e-05
359,Ackley,200,100,0.1,1.5,10,0.8,2.078781591308143e-12
360,Ackley,200,100,0.1,1.5,20,0.1,0.2865583882613483
361,Ackley,200,100,0.1,1.5,20,0.3,0.08644034210181362
362,Ackley,200,100,0.1,1.5,20,0.5,0.0001309465969758783
363,Ackley,200,100,0.1,1.5,20,0.8,1.1244840614210716e-09
364,Ackley,200,100,0.1,1.5,40,0.1,2.4727595870519683
365,Ackley,200,100,0.1,1.5,40,0.3,0.0046459820207513935
366,Ackley,200,100,0.1,1.5,40,0.5,0.00012113352519493858
367,Ackley,200,100,0.1,1.5,40,0.8,2.7672411029300292e-09
368,Ackley,200,100,0.1,2.0,5,0.1,2.978717262939068
369,Ackley,200,100,0.1,2.0,5,0.3,0.00566194156381572
370,Ackley,200,100,0.1,2.0,5,0.5,2.023559244168638e-06
371,Ackley,200,100,0.1,2.0,5,0.8,6.541434061091422e-13
372,Ackley,200,100,0.1,2.0,10,0.1,0.14730742177434353
373,Ackley,200,100,0.1,2.0,10,0.3,0.008418971737004899
374,Ackley,200,100,0.1,2.0,10,0.5,2.0795087625646858e-05
375,Ackley,200,100,0.1,2.0,10,0.8,1.2367884494324244e-12
376,Ackley,200,100,0.1,2.0,20,0.1,0.7124141062451561
377,Ackley,200,100,0.1,2.0,20,0.3,0.035982961050319506
378,Ackley,200,100,0.1,2.0,20,0.5,7.010615741309678e-05
379,Ackley,200,100,0.1,2.0,20,0.8,7.112976874168453e-12
380,Ackley,200,100,0.1,2.0,40,0.1,2.7518984559365838
381,Ackley,200,100,0.1,2.0,40,0.3,0.008970588333238272
382,Ackley,200,100,0.1,2.0,40,0.5,0.00023016272940923344
383,Ackley,200,100,0.1,2.0,40,0.8,3.326450226381894e-11
384,Ackley,200,100,0.1,3.0,5,0.1,2.785463710039441
385,Ackley,200,100,0.1,3.0,5,0.3,0.013128335597255347
386,Ackley,200,100,0.1,3.0,5,0.5,0.00015685254804198578
387,Ackley,200,100,0.1,3.0,5,0.8,1.2294631979159476e-09
388,Ackley,200,100,0.1,3.0,10,0.1,2.755578676443211
389,Ackley,200,100,0.1,3.0,10,0.3,0.10896158079393148
390,Ackley,200,100,0.1,3.0,10,0.5,3.298800959061765e-06
391,Ackley,200,100,0.1,3.0,10,0.8,1.1355230089549195e-08
392,Ackley,200,100,0.1,3.0,20,0.1,2.5004166834426234
393,Ackley,200,100,0.1,3.0,20,0.3,0.007533044978714987
394,Ackley,200,100,0.1,3.0,20,0.5,0.00045348119389077013
395,Ackley,200,100,0.1,3.0,20,0.8,2.1650281567531238e-10
396,Ackley,200,100,0.1,3.0,40,0.1,1.2932929467925196
397,Ackley,200,100,0.1,3.0,40,0.3,0.03369023559539075
398,Ackley,200,100,0.1,3.0,40,0.5,8.388488583976894e-05
399,Ackley,200,100,0.1,3.0,40,0.8,2.1961144014426282e-10
400,Ackley,200,100,0.3,0.5,5,0.1,2.3011831528206597
